campaign_id,customer_id,channel,campaign_date,impressions,clicks,conversions,spend,revenue,retained
1095,12861,Facebook,10/12/2024,3869,1506,0,477.53,0,0
1072,10584,Google Ads,13/12/2023,3418,560,1,90.16,153.27,0
1082,16731,SEO,27/12/2024,5543,1225,1,59.91,81.55,1
1025,15614,Affiliate,06/11/2024,4783,552,1,436.77,1022.21,0
1045,10226,Facebook,24/02/2024,1563,3110,0,350.54,0,0
1095,16383,Google Ads,13/10/2023,4370,3875,0,481.68,0,0
1006,18852,Affiliate,11/02/2024,3629,27,0,226.61,0,0
1087,15153,Facebook,04/06/2024,8272,1375,0,299.34,0,0
1073,15241,Google Ads,11/06/2023,1111,54,0,13.35,0,0
1077,15294,Google Ads,04/09/2024,5166,4103,0,,0,1
1092,16564,Google Ads,23/06/2023,9284,204,0,173.74,0,0
1013,12586,Facebook,05/08/2024,1103,3364,1,291.61,676.99,0
1046,16154,Facebook,12/12/2023,7413,3674,0,315.26,0,0
1021,13845,Affiliate,24/10/2024,890,6,0,255.01,0,0
1055,18011,Affiliate,03/11/2024,7820,2240,1,309.03,621.23,0
1068,16659,SEO,07/11/2024,7157,4455,0,79.1,0,0
1070,17735,SEO,22/03/2024,1510,3140,0,473.29,0,1
1044,15049,Google Ads,12/04/2023,1465,2594,0,214.82,0,0
1075,13022,Facebook,29/11/2023,8196,3026,0,405.31,0,1
1004,19983,Affiliate,14/04/2023,4687,1956,0,110.59,0,0
1022,12624,Google Ads,06/03/2023,3900,913,0,24.92,0,0
1032,18641,Email,18/12/2023,2769,3649,1,17.99,34.1,0
1081,12522,Facebook,16/02/2023,9480,3482,0,189.24,0,1
1094,10160,Instagram,24/06/2023,2121,1177,0,229.79,0,0
1069,13541,Google Ads,29/11/2024,5512,4961,0,287.36,0,0
1028,12287,Email,14/04/2023,6514,3056,0,316.7,0,0
1088,14142,Email,21/11/2024,2498,1995,0,221.91,0,0
1061,18210,Affiliate,19/07/2023,8023,3240,0,85.57,0,0
1071,15600,Facebook,25/12/2023,115,1510,0,40.36,0,0
1098,13957,Email,26/10/2024,5738,4571,0,24.08,0,0
1054,13963,Google Ads,05/05/2024,6402,1743,0,299.76,0,0
1020,11946,Google Ads,16/10/2024,8262,647,0,118.53,0,0
1091,16764,SEO,15/02/2024,5011,2645,0,177.3,0,0
1067,16474,Email,27/01/2024,9566,1023,0,107.67,0,0
1019,13030,Email,16/09/2023,9081,847,1,314.37,533.33,0
1066,14856,Google Ads,12/10/2023,9602,641,0,466.52,0,0
1082,11096,Google Ads,02/04/2023,1994,4071,0,215.16,0,0
1071,16083,Email,22/10/2023,2080,59,0,6.63,0,0
1035,19814,Instagram,11/12/2024,9549,2161,0,26.72,0,0
1009,16323,Email,18/05/2023,5475,916,0,150.92,0,0
1037,11186,Affiliate,06/02/2024,3328,533,0,475.97,0,0
1091,12107,SEO,10/01/2023,7384,2426,1,373.12,892.03,0
1038,13824,Email,14/12/2024,3978,2421,0,17.24,0,0
1012,16321,Affiliate,11/11/2023,805,2171,1,469.74,1268.32,0
1088,12846,Facebook,18/05/2023,5123,3674,1,161.14,428.68,0
1039,10951,Google Ads,24/01/2023,997,4439,0,227.9,0,1
1021,12029,Affiliate,01/02/2023,8636,4530,0,336.23,0,0
1021,11886,Facebook,02/07/2024,5621,4556,0,368.89,0,0
1016,14726,Instagram,07/12/2023,5276,1140,0,389.25,0,0
1098,16017,Facebook,04/10/2024,8913,4986,0,32.19,0,0
1002,19537,Facebook,14/05/2023,7294,1014,0,483.85,0,0
1054,19102,Instagram,21/01/2024,1424,1537,0,203.54,0,0
1005,17636,Google Ads,21/05/2023,1945,2442,0,409.3,0,0
1069,10159,Facebook,09/03/2023,0,3927,1,497.84,630.06,0
1053,16118,Instagram,25/09/2024,7602,3805,0,494.73,0,0
1066,15235,Facebook,23/12/2023,7248,2484,0,204.36,0,1
1004,10521,Affiliate,07/01/2023,9212,210,1,144.61,225.02,0
1001,10114,Email,13/07/2024,1710,3261,0,102,0,1
1084,16627,Email,03/02/2023,4413,1508,0,104.74,0,0
1010,15319,Google Ads,20/09/2023,6085,1007,0,195.98,0,0
1001,15858,Instagram,06/12/2023,1982,4817,1,301.92,420.86,0
1065,19592,Facebook,26/03/2024,2261,4627,0,184.51,0,1
1093,17899,Email,03/04/2023,4409,1943,0,383.24,0,0
1072,17396,Affiliate,22/10/2023,4184,2033,0,126.95,0,0
1077,17961,affiliate,07/10/2023,7891,55,0,49.08,0,0
1092,10794,SEO,02/04/2023,3593,2732,0,-118.53,0,0
1041,10289,Email,28/07/2023,6126,412,0,271.65,0,0
1037,16854,Affiliate,28/08/2023,4894,937,0,164.12,0,1
1071,13088,Google Ads,15/12/2023,3826,2606,0,381.73,0,1
1017,10072,Affiliate,14/12/2023,3654,2895,1,458.9,709.89,0
1090,19745,Email,17/02/2023,5236,4778,0,453.13,0,0
1025,13897,Facebook,11/06/2024,2603,3476,1,276.27,490.12,1
1079,12631,Email,03/12/2024,2145,4671,0,101.48,0,1
1018,19203,Instagram,07/02/2023,3741,2692,0,472.53,0,1
1028,12128,Facebook,16/01/2024,1129,3831,0,142.68,0,0
1050,17714,Instagram,25/04/2023,2908,3709,0,257.89,0,0
1099,15008,Google Ads,06/04/2024,6510,3790,0,45.18,0,1
1027,10614,Email,03/04/2023,9428,1245,0,264.02,0,1
1044,11989,SEO,04/02/2024,6445,4118,1,63.1,112.06,0
1021,14456,Email,17/06/2023,3382,1801,0,6.22,0,0
1033,18814,SEO,05/03/2023,6905,1623,1,198.53,545.91,0
1017,18864,SEO,15/03/2024,3067,1786,0,271.43,0,0
1096,11446,Email,16/01/2023,6019,4199,0,,0,0
1014,19886,Instagram,22/01/2024,7297,2705,0,18.38,0,0
1082,16081,Instagram,29/12/2024,1626,4992,0,72.22,0,1
1043,10281,Instagram,22/10/2024,9757,1051,0,393.82,0,0
1002,10477,Google Ads,17/09/2024,4756,3793,0,351.77,0,0
1091,11725,Google Ads,19/02/2024,6756,2388,0,361.14,0,1
1088,10402,Instagram,16/10/2023,9237,4971,0,265.93,0,0
1074,17595,Affiliate,24/03/2024,8868,4882,0,431.02,0,0
1066,11285,Email,26/04/2023,7718,1505,0,306.97,0,0
1007,17548,Google Ads,14/09/2023,2506,120,0,56.45,0,0
1070,15431,,14/09/2023,0,3563,0,245.77,0,0
1069,15914,Email,21/03/2024,4407,4501,0,89.42,0,1
1030,17680,Instagram,19/12/2024,5860,4199,0,145.17,0,1
1051,16813,Email,01/02/2023,889,800,0,163.08,0,1
1096,13925,Instagram,16/08/2023,1325,3897,0,411.75,0,0
1085,14754,Facebook,19/07/2023,5435,3880,0,53.36,0,1
1091,15768,Email,12/12/2023,7163,233,0,421.12,0,0
1080,13205,SEO,03/01/2023,4570,4116,0,49.86,0,0
1046,17640,SEO,20/03/2023,4478,4457,0,128.95,0,0
1000,14333,Instagram,22/02/2023,8733,313,0,185.87,0,1
1011,16792,Email,27/04/2023,7596,756,0,256.3,0,0
1069,18871,Instagram,04/10/2024,6195,2082,0,335.54,0,0
1066,15020,Email,30/01/2024,7544,4945,0,196.42,0,0
1043,18977,Affiliate,02/05/2023,6446,2232,1,44.45,127.37,0
1063,13785,Email,11/09/2024,6795,3461,0,132.21,0,1
1036,12666,Facebook,18/10/2023,3520,3185,0,132.8,0,0
1037,19904,Facebook,18/03/2023,4815,299,0,313.79,0,1
1074,12335,Email,05/07/2023,9271,1471,0,268.95,0,0
1094,17413,Affiliate,30/04/2024,2123,4596,0,32.56,0,0
1006,18791,Email,25/11/2024,7314,956,0,296.27,0,0
1024,17835,Email,01/07/2024,8910,1665,0,67.38,0,1
1098,11780,SEO,28/04/2024,3220,1706,0,234.64,0,1
1060,14931,Affiliate,13/11/2023,814,1256,1,335.55,587.89,1
1043,11942,SEO,04/11/2023,7281,941,0,402.79,0,0
1073,11222,SEO,20/05/2024,3326,3144,0,246.44,0,0
1002,17507,SEO,17/04/2023,6967,2006,0,383.39,0,0
1000,17862,Facebook,26/09/2023,9400,2634,1,149.38,248.77,1
1015,17498,Instagram,09/03/2024,8398,2361,0,22.21,0,0
1045,14886,Email,31/08/2024,9482,509,0,457.23,0,0
1023,18520,Email,22/05/2024,2171,2654,0,440.68,0,0
